Old Name,Island,Population,New Name
CO-CH-4,Big_Island,,Big_Island-04H
CO-CH-5,Big_Island,,Big_Island-05H
CO-CH-3,Big_Island,,Big_Island-03H
CO-CH-6,Big_Island,,Big_Island-06H
CO-CH-7,Big_Island,,Big_Island-07H
CO-CH-8,Big_Island,,Big_Island-08H
CO-CH-9,Big_Island,,Big_Island-09H
CO-CH-10,Big_Island,,Big_Island-10H
CO-CH-11,Big_Island,,Big_Island-11H
CO-CH-12,Big_Island,,Big_Island-12H
CO-CH-46,Big_Island,,Big_Island-46H
CO-CH-36,FFS,,FFS-36H
CO-CH-37,FFS,,FFS-37H
CO-CH-28,Kauai,,Kauai-28H
CO-CH-27,Kauai,,Kauai-27H
CO-CH-29,Kaula,,Kaula-29H
CO-CH-38,Lisianski,,Lisianski-38H
CO-CH-14,Maui,,Maui-14H
CO-CH-13,Maui,,Maui-13H
CO-CH-15,Maui,,Maui-15H
CO-CH-16,Molokai,Peleelo,Molokai-Peleelo-16H
CO-CH-18,Molokai,Mokapu,Molokai-Mokapu-18H
CO-CH-39,Molokai,Kamilolou,Molokai-Kamilolou-39H
CO-CH-40,Molokai,Huelo_Islet,Molokai-Huelo_Islet-40H
CO-CH-44,Molokai,Hoolehua_Dump,Molokai-Hoolehua_Dump-44H
CO-CH-45,Molokai,PK,Molokai-PK-45H
CO-CH-32,Necker,,Necker-32H
CO-CH-33,Necker,,Necker-33H
CO-CH-34,Necker,,Necker-34H
CO-CH-35,Necker,,Necker-35H
CO-CH-30,Nihoa,,Nihoa-30H
CO-CH-31,Nihoa,,Nihoa-31H
CO-CH-25,Oahu,,Oahu-25H
CO-CH-1,Oahu,,Oahu-01H
CO-CH-2,Oahu,,Oahu-02H
CO-CH-20,Oahu,,Oahu-20H
CO-CH-21,Oahu,,Oahu-21H
CO-CH-22,Oahu,,Oahu-22H
CO-CH-23,Oahu,,Oahu-23H
CO-CH-24,Oahu,,Oahu-24H
CO-CH-26,Oahu,,Oahu-26H
